Code,"Continent, Region, Country",century,decade,year,height.cm,year_decade,height.in
332,Haiti,19,6,0,171.064,1960,67.34803149606299
332,Haiti,19,7,0,171.254,1970,67.4228346456693
332,Haiti,19,8,0,171.494,1980,67.51732283464567
388,Jamaica,18,9,0,170.2,1890,67.00787401574803
388,Jamaica,19,1,0,167.132,1910,65.80000000000001
388,Jamaica,19,2,0,167.894,1920,66.10000000000001
388,Jamaica,19,3,0,169.672,1930,66.8
388,Jamaica,19,4,0,168.281,1940,66.25236220472442
388,Jamaica,19,8,0,173.6,1980,68.34645669291339
630,Puerto Rico,18,9,0,164.53,1890,64.7755905511811
630,Puerto Rico,19,0,0,164.02,1900,64.57480314960631
630,Puerto Rico,19,1,0,165.35,1910,65.0984251968504
630,Puerto Rico,19,2,0,164.02,1920,64.57480314960631
630,Puerto Rico,19,3,0,163.66,1930,64.43307086614173
780,Trinidad and Tobago,19,8,0,174.4,1980,68.66141732283465
188,Costa Rica,19,4,0,166.1,1940,65.39370078740158
188,Costa Rica,19,8,0,173.6,1980,68.34645669291339
320,Guatemala,18,9,0,156.3,1890,61.53543307086615
320,Guatemala,19,1,0,156,1910,61.417322834645674
320,Guatemala,19,2,0,158.7,1920,62.48031496062992
320,Guatemala,19,3,0,158.7,1930,62.48031496062992
320,Guatemala,19,5,0,159.2,1950,62.677165354330704
